đậu| chat "adau" để auto đậu cho đệ
siêu cấp, cấp 2| mở cskb, săn boss tàu paypay, đánh nhân bản
item thường, cn, bh, gx| mở cskb
dame| Server dame trung nhé
tải, down, tai| Bản jar: http://ngocrongmarid.online/download/java . Bản APK: http://ngocrongmarid.online/download/android . Bản PC: http://ngocrongmarid.online/download/windows . Bản IOS, TF: http://ngocrongmarid.online/download/iphone
open, test, op| Server Dame TRUNG MỚI OPEN free vàng, ngọc xanh, hồng ngọc và nhiều nhiều phần quà từ giftcode khác
ngu, ngáo, bot xịn|Chào bạn, mình là chat bot tự động để hỗ trợ các thắc mắc của bạn. 
hoa, hoa bỉ ngạn, bỉ ngạn|Hoa bỉ ngạn có thể tìm bằng cách up quái ở cold, phân rã đồ thần ở hạt mít đảo kame, săn boss như: luffy, bojack, hutao, black, anubis,....... Ngoài ra bạn có thể kiếm các vật phẩm từ game để trao đổi mua bán bằng hoa thông shop kí gửi. Các thông tin về số lượng được hiển thị ở mục nhiệm vụ
nhẫn, nhẫn quý tộc, vòng vàng|nhẫn quý tộc làm nhiệm vụ ngày ở bò mộng. Hàng tháng sẽ có các sự kiện để ae kiếm nhẫn cũng như tranh top để nhận quà là nhẫn quý tộc. Các thông tin về số lượng được hiển thị ở mục nhiệm vụ
code|Code có ghi chỗ nhập tại nhà: marid1, marid2, marid3, marid4, marid5, marid6, denbu, 3k. Code 30 tháng 4 tương tác bài viết ở ghim
coin, tỉ lệ nạp, bảng giá|10k vnd = 10k coin. 10k coin = 20k hoa bỉ ngạn. 60k coin = 10k nhẫn quý tộc. 10k coin = 10 ngân phiếu. Đổi coin tại Npc Gohan Nguyệt Nhật ở đảo Kame. Các thông tin về số lượng được hiển thị ở mục nhiệm vụ
auto đập đồ, đập đồ|mod vip, vudang: chat “dapdo”. Mod TestFlight vào trong mục menu có chỗ mở chế độ đập đồ. => Sau đó bỏ đồ cần đập vào => ấn vào đồ chọn số sao cần đập
đậu bư, đậu bư béo, bư 21h, buu 21h, thần linh kích hoạt, tlkh, tl kích hoạt|Săn boss bư 21h ở đại hội võ thuật để đổi set thần linh kích hoạt ở shop ayaka tại đảo kame
đệ tử, loại đệ, đệ, săn đệ, dt, đt|Đệ bư tăng 30% cs khi hợp thể ( đến unknown đầu map đảo kame để săn ). Đệ gohan tăng 50% chỉ số khi hợp thể ( Săn bư 12h trưa ở đại hội võ thuật hoặc mua shop santa 50k). Đệ tử black 75% [ 501b + 35% = 110% ] chỉ số của đệ khi hợp thể ( cần BTC4 - Khuyên VS) , săn super broly ở tapion 21h15 thành phố vegeta
ước rồng, đổi skill, gọi rồng, rồng thần|Ra đầu làng có Npc thượng đế để ước rồng, up đệ lên 1ty5 rồi ra đầu làng ước rồng đổi skill 2-3, 3-4
thần linh, dtl, tl|đồ thần linh có thể up cold, săn boss bên tương lai, boss apk
hồn lính, hồn tướng|up hồn lính thì nhai cuồng nộ thường, hồn tướng nhai cuồng nộ siêu cấp, sau đó up quái cold
ip, vudang| ip server là:        marid:14.225.202.16:14445:0,0,0|225
jar|Trên Điện thoại:  Bước 1: Xoá J2me loader hiện tại trên máy  Bước 2: Tải J2Me Loader tại CH Play  Bước 3: sau đó bấm dấu + rồi chọn file jar của game để mở game, nếu chưa vào đc thì thoát ra vào lại 2-3 lần là được ( lí do: bị đè dl cũ ).    Trên Pc/Máy tính:  Bước 1: Bạn cần xoá dữ liệu cũ ( vào ổ C > Users > Administrator > .microemulator > Xoá hết thư mục game (màu vàng)  Bước 2: Bạn tải AngelChip Emulator về máy, Tải file Jar của Game về máy  Bước 3: Bạn mở File AngelChip Emulator và Kéo thả file Jar vào file AngelChip Emulator. Link: http://ngocrongmarid.online/download/java
kuku|Tới thành phố vegeta gặp cui để tìm kuku, Mập đầu đinh, Rambo. Nếu npc chat “ Chết rồi “ thì boss đã chết, việc của bạn là đứng đợi spawn lượt mới. Boss sẽ xuất hiện ở Nam kame
menu|Chức năng mod: phần chức mod mod tại mục chức năng của bản thân. Ngoài ra bạn có thể mở Menu mod bằng cách ấn vào logo trên màn hình ( hoặc nút tam giác bên phải màn hình ) - Phím X đổi với PC để bật Mod Vudang trên pc thì ấn phím "m", trên điện thoại chat "memu". Mod Koi thì ấn vào biểu tượng cạnh thanh máu. Tất cả các chức năng đều ở trong đó (auto chỉ số, … )
giới hạn, mở giới hạn, giới hạn sức mạnh|Mở giới hạn sức mạnh tại Quốc Vương ở vách núi mori nè
nội tại|Mod vudang, bấm vào mục nội tại => xem nội tại => chọn số % => chat “mont”. Hồng ngọc nhận free ở nhà
eye, eyes, nâng cấp bội, ngọc bội|Ngọc bội mua ở shop Vip tại cửa hàng Santa. Để nâng cấp ngọc bội lên eyes bạn cần Đến gặp unknown đầu map đảo kame, vào đào hoa đảo chạy sang trái sẽ gặp npc để nâng cấp. LƯU Ý: Đọc hướng dẫn của npc chứ đừng chơi ngu rồi khóc
ngọc hóa|Chức năng ngọc hoá ( có thể hiểu tương tự pha lê hoá, độc lập với chức năng pha lê hoá ), sau khi trang bị được ngọc hoá bạn sẽ ép ngọc vào trang bị để tăng thêm chỉ số. Ngọc hoá trang bị tại Bà Hạt Mít. Viên ngọc kiếm ở boss coler hoặc mua ở shop santa
ngân phiếu|ngân phiếu chỉ quy đổi từ coin nạp
siêu cấp, nrsc|Điều ước ngọc rồng siêu cấp: nhẫn quý tộc, hoa bỉ ngạn, đổi skill, cải trang vip hơn tất cả shop 7-14 ngày
nhiệm vụ, nv, giờ|Giờ nhiệm vụ 11-13h và 20-21h cho nv tdst và xên thị trấn ginder. Bỏ qua nhiệm vụ bằng coin ở Quy Lão Kame. LƯU Ý: Giờ nhiệm vụ chỉ cấm người những thằng nào không thuộc nhiệm vụ vào được khu. Thế nên, nhiệm vụ đông người làm hay có vip là chuyện bình thường
nạp, donate, thẻ, card|Lên web http://ngocrongmarid.online, đăng nhập vào sẽ có mục nạp thẻ. Lưu ý: Ưu tiên nạp thông qua banking, nếu muốn nạp thẻ cào thì: vina, viettel
sv, server| Các bản mod chọn SV1
không vào, kẹt, xoay|Ai bị kẹt acc thì lên web thoát kẹt nhé : http://ngocrongmarid.online/thoat-ket
hướng dẫn, thông tin, cơ bản|Vào phần chức năng => mục thứ 2, đọc một số thông tin cơ bản của game
trang bị, nâng skh, thiên sứ, hủy diệt, hd, dhd, thiên tôn, lính, tướng|Tất cả trang bị trong game đều tạo bởi hạt mít ở đảo kame, anh em nhấp vào chế tạo trang bị sau đó chọn loại trang bị để xem hướng dẫn cách tạo. Các trang bị của game có chi tiết trong bài viết tại website: http://ngocrongmarid.online/bai-viet?id=61
cơ chế|Cơ chế game tại bài viết này: http://ngocrongmarid.online/bai-viet?id=61
trùng sinh, chuyển sinh, nước mắt|Nguyên liệu up ở địa ngục + nước mắt mạnh bà ( săn boss mạnh bà ở tầng 6 địa ngục ) Để chế tạo canh mạnh bà ( có thể mua 300k Hoa Bỉ Ngạn ). Sau khi Trùng Sinh sức mạnh reset về 2k chỉ số tăng thêm 5% ( 840k HP KI, 42k SD ). Lưu ý: không mất đồ. Chỉ đc thực hiện 1 lần
tiên môn, mặt trăng, jiren, săn bư, đệ bư|Đến gặp unknown đầu map đảo kame nhé
up, sức mạnh|mua găng tấn công mạnh, up lên 150m r vào ngũ hành sơn ( Up ở ngoài trước, khi sức đánh đủ lớn thì hãy vào ngũ hành sơn ). 100 tỷ vào tiên môn hoặc mặt trăng up. 300 tỷ vào địa ngục. Nhớ găng tăng sức đánh cao + full set tnsm. Mua găng ở các shop đầu làng phù hợp với mốc sức mạnh
nâng cấp| nâng cấp bông tai tại bà hạt mít ở vách núi
mvbt, mvbt, đá xanh, đá đỏ, đá tím, bông tai, mảnh vỡ, btc2, btc3|up các nguyên liệu mvbt, mvbt, đá xanh, đá đỏ, đá tím nâng btc2, btc3 ở các map nappa, fide. Nâng cấp tại bà hạt mít ở vách núi
20k|mốc nạp 20k nhận ct bư noel 60% SD, 120% HP, KI Vĩnh Viễn
mua acc, bán acc|Mua, bán acc nhớ liên hệ admin Ngọc Rồng Marid để gdtg tránh bị lừa đảo
Btc4, c4| Cần săn boss và tích lũy hoa bỉ ngạn để mua trong shop. BTC4 Có thể pha lê hóa max 5s và ngọc hóa 10 level
ad, admin| Có việc gì thì ib riêng cho ad nhe
chào, hello, bot, alo, chat|Chào bạn, mình là chat bot tự động. Bạn cần thông tin gì nò
tốc độ, cheat |lệnh tốc độ game: cheat x, cheat_x , tdx , speedx , speed_x (x là số nhé). Một số mod thì bạn ấn vào logo vào phần menu để chỉnh nhé
tải, game, link tải|http://ngocrongmarid.online/
tf, test flight, testflight|https://testflight.apple.com/join/fsX9sj4Z
sự kiện, event, sk|chi tiết sự kiện tại:http://ngocrongmarid.online/bai-viet?id=208
auto chỉ số, auto cs|Vào mục menu của các mod có auto chỉ số nha.
săn boss, thông báo boss, tb|chat "sb" để bật thông báo. Đối với mod koi thì bạn ấn vào biểu tưởng cạnh thanh máu, sau đó chọn đồ họa rồi chọn hiển thị tb
thiên sứ, hủy diệt, ts, hd| Tất cả trang bị trong game đều tạo bởi hạt mít ở đảo kame, anh em nhấp vào chế tạo trang bị sau đó chọn loại trang bị để xem hướng dẫn cách tạo. Các trang bị của game có chi tiết trong bài viết tại website: http://ngocrongmarid.online/bai-viet?id=61
lag, vô game, vào game, xoay, quay, mờ, nhòa, đứng, lang|Xóa dữ liệu. Nhòe màn hình thì xóa dữ liệu rồi vào lại. Lag thì quay video cụ thể lỗi như nào rồi gửi vào box để ae hướng dẫn fix nhé. Ai bị kẹt acc thì lên web thoát kẹt nhé : http://ngocrongmarid.online/thoat-ket
mod, lệnh| Chức năng mod: phần chức mod mod tại mục chức năng của bản thân. Ngoài ra bạn có thể mở Menu mod bằng cách ấn vào logo trên màn hình ( hoặc nút tam giác bên phải màn hình ) - Phím X đổi với PC để bật
ngọc rồng, nro|Ngọc rồng được free tại code, nhập tại nhà. Ngoài ra còn có thể săn các loại boss để kiếm thêm. Ra đầu làng có Npc thượng đế để ước rồng, up đệ lên 1ty5 rồi ra đầu làng ước rồng đổi skill 2-3, 3-4. Ngoài ra ngọc rồng có thể kiếm từ bằng cách up quái, săn boss,....
spl, pha lê|Nhận free tại NPC ở nhà, nhìn kĩ vào nè
di chuyển, tương lai, tl, cold| chat "map" để di chuyển
tương lai, tl| Đến rừng bamboo để gặp trunks
đục lỗ, đập đồ| Tại npc Hạt mít ở đảo kame. Đọc tất cả các chức năng đi nè
auto, item|Vudang thì thêm vào list, mod vip thì bấm vào vật phẩm chọn thời gian delay
tự động|Bạn muốn hỏi về auto: đập đồ, chỉ số, item?
thỏi vàng, tv, vàng, âm| Thỏi vàng chỉ sử dụng, không bán. Nhận free ở nhà. Vàng nhận free ở nhà
share, quà|Share bài ngay nhận quà liền tay: https://zalo.me/g/tavdte682
sức đánh, hp, ki, sd, chỉ số, cs| Chỉ số: 40k SD, 800K HP KI, Chí mạng: 10
mtv|mtv free
